City,State,Latitude,Longitude,UniqueFastFoodChains
Bakersfield,CA,35.389522,-119.003386,1
Bakersfield,CA,35.398432,-119.109364,1
Baldwin,NY,40.655954,-73.611026,1
Baldwin,NY,40.679658,-73.614801,1
Baldwin Park,CA,34.068261,-117.973647,1
Baldwin Park,CA,34.070961,-117.977852,1
Baldwin Park,CA,34.077713,-117.996169,1
Baldwin Park,CA,34.084904,-117.965034,1
Ballwin,MO,38.593655,-90.497734,1
Baltimore,MD,39.268428,-76.599851,1
Baltimore,MD,39.286298,-76.619322,1
Baltimore,MD,39.297176,-76.529346,1
Bangor,ME,44.817319,-68.810934,1
Bangor,ME,44.83564,-68.742387,1
Barberton,OH,41.025814,-81.639951,1
Barbourville,KY,36.852872,-83.864312,1
Barnesville,GA,33.054603,-84.15278,1
Barnesville,GA,33.054774,-84.15625,1
Barstow,CA,34.867566,-117.114747,1
Barstow,CA,34.868082,-117.115929,1
Barstow,CA,34.891772,-117.001755,1
Bartlesville,OK,36.750675,-95.939641,1
Bartlett,IL,41.97609,-88.20722,1
Bartow,FL,27.908842,-81.843377,1
Bartow,FL,27.909454,-81.843372,1
Bastrop,LA,32.78127,-91.901043,1
Bastrop,TX,30.10421,-97.30896,1
Batavia,OH,39.082445,-84.149439,1
Batavia,OH,39.082663,-84.150118,1
Batavia,OH,39.0894,-84.24904,1
Batesville,IN,39.306447,-85.216967,1
Batesville,IN,39.309632,-85.213979,1
Bath,ME,43.954214,-69.801024,1
Baton Rouge,LA,30.360046,-91.125465,1
Baton Rouge,LA,30.3791,-91.09643,1
Baton Rouge,LA,30.3836,-91.0659,1
Baton Rouge,LA,30.385667,-91.064558,1
Baton Rouge,LA,30.38938,-91.1689,1
Baton Rouge,LA,30.39099,-91.06156,1
Baton Rouge,LA,30.391825,-91.161159,1
Baton Rouge,LA,30.395903,-91.110117,1
Baton Rouge,LA,30.399051,-91.107853,1
Baton Rouge,LA,30.4245,-91.15764,1
Baton Rouge,LA,30.432448,-91.057819,1
Baton Rouge,LA,30.433078,-91.057839,1
Baton Rouge,LA,30.43645,-91.05695,1
Baton Rouge,LA,30.439892,-91.007709,1
Baton Rouge,LA,30.44345,-91.17915,1
Baton Rouge,LA,30.450524,-91.135771,1
Baton Rouge,LA,30.451156,-91.155146,1
Baton Rouge,LA,30.45253,-91.105262,1
Baton Rouge,LA,30.455977,-91.07349,1
Baton Rouge,LA,30.4781,-91.1606,1
Baton Rouge,LA,30.486089,-91.082851,1
Baton Rouge,LA,30.488174,-91.076181,1
Baton Rouge,LA,30.505048,-91.151663,1
Baton Rouge,LA,30.506367,-91.135815,1
Baton Rouge,LA,30.520683,-91.179144,1
Baton Rouge,LA,30.52114,-91.15354,1
Battle Creek,MI,42.261041,-85.183529,1
Battle Creek,MI,42.29859,-85.210229,1
Battle Creek,MI,42.29859,-85.19871,1
Battle Creek,MI,42.299312,-85.199418,1
Battle Creek,MI,42.34085,-85.15456,1
Battle Creek,MI,42.344969,-85.232436,1
Battleboro,NC,36.023494,-77.769484,1
Baxter,MN,46.372116,-94.243815,1
Bay City,MI,43.557438,-83.951823,1
Bay City,MI,43.580074,-83.88511,1
Bay City,MI,43.58914,-83.88629,1
Bay City,MI,43.59821,-83.887751,1
Bay City,TX,28.983138,-95.949728,1
Bay Saint Louis,MS,30.318225,-89.344355,1
Bay Shore,NY,40.738784,-73.245157,1
Bay Shore,NY,40.740276,-73.247418,1
Bayard,NM,32.762698,-108.146102,1
Baytown,TX,29.730854,-94.957348,1
Baytown,TX,29.74111,-94.98108,1
Baytown,TX,29.761673,-94.964399,1
Baytown,TX,29.822449,-94.899115,1
Bear,DE,39.61824,-75.69473,1
Bear,DE,39.630185,-75.664759,1
Bear,DE,39.630468,-75.666136,1
Bear,DE,39.632849,-75.663821,1
Beatrice,NE,40.278191,-96.74665,1
Beaufort,SC,32.424901,-80.731536,1
Beaufort,SC,32.433524,-80.71179,1
Beaufort,SC,32.440815,-80.704213,1
Beaumont,CA,33.928701,-116.977583,1
Beaumont,CA,33.930826,-116.946903,1
Beaumont,TX,30.080429,-94.163022,1
Beaumont,TX,30.08219,-94.13516,1
Beaumont,TX,30.127462,-94.15964,1
Beaumont,TX,30.133592,-94.165253,1
Beaumont,TX,30.170202,-94.18503,1
Beaver Dam,WI,43.45681,-88.8168,1
Beaver Dam,WI,43.478752,-88.821761,1
Beaver Falls,PA,40.772636,-80.373497,1
Beaverton,OR,45.48972917,-122.794934,1
Beaverton,OR,45.493432,-122.807337,1
Beaverton,OR,45.495176,-122.880029,1
Beaverton,OR,45.498746,-122.806632,1
Beaverton,OR,45.499558,-122.806602,1
Beaverton,OR,45.529385,-122.841321,1
